name,population
Mumbai,12691836
Delhi,10927986
Bengaluru,8443675
Bangalore,8443675
Banglore,8443675
Banaglore,8443676
Banglore,8443677
Asifabadbanglore,8443677
Hyderabad,6809970
Ahmedabad,6357693
Chennai,4681087
Kolkata,4631392
Surat,4591246
Pune,3124458
Kanpur,2823249
Jaipur,2711758
Navi Mumbai,2600000
Lucknow,2472011
Nagpur,2228018
Coimbatore,2136916
Indore,1837041
Vadodara,1822221
Kallakurichi,1682687
Patna,1599920
Bhopal,1599914
Ludhiana,1545368
Madurai,1465625
Tirunelveli,1435844
Agra,1430055
Rajkot,1390640
Najafgarh,1365000
Jamshedpur,1339438
Gorakhpur,1324570
Nashik,1289497
Pimpri,1284606
Kalyan,1262255
Thane,1261517
Meerut,1223184
Nowrangapur,1220946
Faridabad,1220229
Ghaziabad,1199191
Gaziabaad,1199191
Dhanbad,1196214
Dombivli,1193000
Varanasi,1164404
Ranchi,1120374
Amritsar,1092450
Allahabad,1073438
Visakhapatnam,1063178
vsakhapttnam,1063179
Teni,1034724
Jabalpur,1030168
Haora,1027672
Tiruchirappalli,1022518
Aurangabad,1016441
Shivaji Nagar,1000000
Solapur,997281
Srinagar,975857
Tiruppur,963173
Chandigarh,960787
Jodhpur,921476
Salem,917414
Guwahati,899094
Gwalior,882458
Vijayawada,874587
Mysore,868313
Rohini,860000
Hubli,840214
Narela,800000
Jalandhar,785178
Thiruvananthapuram,784153
Trivandrum,784153
Kota,763088
Bhubaneshwar,762243
Bhubneshwar,762243
Bhubaneswar,762243
Aligarh,753207
Bareilly,745435
Moradabad,721139
Bhiwandi,707035
Bhiwadi,707036
Raipur,679995
Gorakhpur,674246
Puducherry,657209
Pondicherry,657209
Pondy,657209
Bhilai,625138
Borivli,609617
Bhavnagar,605882
Cochin,604696
Kochi,604697
Amravati,603837
Sangli,601214
Cuttack,580000
Bikaner,576015
Bokaro,564319
Warangal,557802
Nanded,550564
Kozhikode,550440
Raurkela,536450
Guntur,530577
Dehra Dun,522081
Dehradun,522082
Erode,521891
Bhayandar,520301
Durgapur,518872
Ajmer,517911
Ulhasnagar,516584
Kolhapur,516142
Siliguri,515574
Bilimora,510879
Karol Bagh,505241
Asansol,504271
Jamnagar,492056
Saharanpur,484873
Vellore,484690
Gulbarga,483615
Bhatpara,483129
Jammu,465567
Kurnool,460184
Ujjain,457346
Ramgundam,452261
Maheshtala,448317
Shyamnagar,441956
Malegaon,435362
Davangere,435128
Jalgaon,429298
Akola,428857
Belgaum,428720
Rajpur Sonarpur,424368
Gaya,423692
Udaipur,422784
Korba,419146
Mangalore,417387
Jhansi,412927
Thoothukudi,410760
